"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD"
"31/07/2014","63","QUINDIO","63130","CALARCA","1"
"02/08/2014","63","QUINDIO","63130","CALARCA","1"
"05/08/2014","63","QUINDIO","63130","CALARCA","1"
"06/08/2014","63","QUINDIO","63130","CALARCA","1"
"14/08/2014","63","QUINDIO","63130","CALARCA","1"
"15/08/2014","63","QUINDIO","63130","CALARCA","1"
"17/08/2014","63","QUINDIO","63130","CALARCA","2"
"18/08/2014","63","QUINDIO","63130","CALARCA","1"
"20/08/2014","63","QUINDIO","63130","CALARCA","1"
"28/08/2014","63","QUINDIO","63130","CALARCA","2"
"02/09/2014","63","QUINDIO","63130","CALARCA","1"
"05/09/2014","63","QUINDIO","63130","CALARCA","1"
"23/09/2014","63","QUINDIO","63130","CALARCA","1"
"02/10/2014","63","QUINDIO","63130","CALARCA","6"
"03/10/2014","63","QUINDIO","63130","CALARCA","4"
"07/10/2014","63","QUINDIO","63130","CALARCA","1"
"18/10/2014","63","QUINDIO","63130","CALARCA","1"
"22/10/2014","63","QUINDIO","63130","CALARCA","1"
"24/10/2014","63","QUINDIO","63130","CALARCA","1"
"29/10/2014","63","QUINDIO","63130","CALARCA","1"
"24/11/2014","63","QUINDIO","63130","CALARCA","2"
"27/11/2014","63","QUINDIO","63130","CALARCA","1"
"02/12/2014","63","QUINDIO","63130","CALARCA","3"
"03/12/2014","63","QUINDIO","63130","CALARCA","2"
"09/12/2014","63","QUINDIO","63130","CALARCA","1"
"13/12/2014","63","QUINDIO","63130","CALARCA","2"
"19/12/2014","63","QUINDIO","63130","CALARCA","2"
"20/12/2014","63","QUINDIO","63130","CALARCA","1"
"22/12/2014","63","QUINDIO","63130","CALARCA","2"
"02/01/2015","63","QUINDIO","63130","CALARCA","1"
"04/01/2015","63","QUINDIO","63130","CALARCA","1"
"06/01/2015","63","QUINDIO","63130","CALARCA","1"
"09/01/2015","63","QUINDIO","63130","CALARCA","2"
"15/01/2015","63","QUINDIO","63130","CALARCA","1"
"17/01/2015","63","QUINDIO","63130","CALARCA","1"
"18/01/2015","63","QUINDIO","63130","CALARCA","1"
"20/01/2015","63","QUINDIO","63130","CALARCA","2"
"23/01/2015","63","QUINDIO","63130","CALARCA","3"
"28/01/2015","63","QUINDIO","63130","CALARCA","1"
"31/01/2015","63","QUINDIO","63130","CALARCA","1"
"01/02/2015","63","QUINDIO","63130","CALARCA","1"
"02/02/2015","63","QUINDIO","63130","CALARCA","1"
"01/03/2015","63","QUINDIO","63130","CALARCA","1"
"05/03/2015","63","QUINDIO","63130","CALARCA","1"
"07/03/2015","63","QUINDIO","63130","CALARCA","2"
"10/03/2015","63","QUINDIO","63130","CALARCA","2"
"13/03/2015","63","QUINDIO","63130","CALARCA","1"
"19/03/2015","63","QUINDIO","63130","CALARCA","1"
"02/04/2015","63","QUINDIO","63130","CALARCA","1"
"08/04/2015","63","QUINDIO","63130","CALARCA","1"
"26/04/2015","63","QUINDIO","63130","CALARCA","1"
"28/04/2015","63","QUINDIO","63130","CALARCA","1"
"04/05/2015","63","QUINDIO","63130","CALARCA","3"
"12/05/2015","63","QUINDIO","63130","CALARCA","1"
"01/06/2015","63","QUINDIO","63130","CALARCA","4"
"04/06/2015","63","QUINDIO","63130","CALARCA","2"
"13/06/2015","63","QUINDIO","63130","CALARCA","3"
"17/06/2015","63","QUINDIO","63130","CALARCA","1"
"18/06/2015","63","QUINDIO","63130","CALARCA","2"
"21/06/2015","63","QUINDIO","63130","CALARCA","2"
"24/06/2015","63","QUINDIO","63130","CALARCA","1"
"30/06/2015","63","QUINDIO","63130","CALARCA","1"
"04/07/2015","63","QUINDIO","63130","CALARCA","4"
"12/07/2015","63","QUINDIO","63130","CALARCA","1"
"29/07/2015","63","QUINDIO","63130","CALARCA","1"
"01/08/2015","63","QUINDIO","63130","CALARCA","1"
"02/08/2015","63","QUINDIO","63130","CALARCA","2"
"06/08/2015","63","QUINDIO","63130","CALARCA","1"
"07/08/2015","63","QUINDIO","63130","CALARCA","2"
"14/08/2015","63","QUINDIO","63130","CALARCA","1"
"19/08/2015","63","QUINDIO","63130","CALARCA","1"
"21/08/2015","63","QUINDIO","63130","CALARCA","1"
"24/08/2015","63","QUINDIO","63130","CALARCA","1"
"26/08/2015","63","QUINDIO","63130","CALARCA","1"
"29/08/2015","63","QUINDIO","63130","CALARCA","2"
"31/08/2015","63","QUINDIO","63130","CALARCA","1"
"09/09/2015","63","QUINDIO","63130","CALARCA","3"
"12/09/2015","63","QUINDIO","63130","CALARCA","1"
"26/09/2015","63","QUINDIO","63130","CALARCA","1"
"28/09/2015","63","QUINDIO","63130","CALARCA","3"
"29/09/2015","63","QUINDIO","63130","CALARCA","5"
"30/09/2015","63","QUINDIO","63130","CALARCA","2"
"03/10/2015","63","QUINDIO","63130","CALARCA","2"
"06/10/2015","63","QUINDIO","63130","CALARCA","3"
"14/10/2015","63","QUINDIO","63130","CALARCA","1"
"01/11/2015","63","QUINDIO","63130","CALARCA","2"
"14/11/2015","63","QUINDIO","63130","CALARCA","3"
"02/12/2015","63","QUINDIO","63130","CALARCA","1"
"04/12/2015","63","QUINDIO","63130","CALARCA","1"
"07/12/2015","63","QUINDIO","63130","CALARCA","1"
"18/12/2015","63","QUINDIO","63130","CALARCA","1"
"19/12/2015","63","QUINDIO","63130","CALARCA","5"
"20/12/2015","63","QUINDIO","63130","CALARCA","1"
"23/12/2015","63","QUINDIO","63130","CALARCA","1"
"31/12/2015","63","QUINDIO","63130","CALARCA","1"
"01/01/2016","63","QUINDIO","63130","CALARCA","3"
"03/01/2016","63","QUINDIO","63130","CALARCA","1"
"04/01/2016","63","QUINDIO","63130","CALARCA","3"
"09/01/2016","63","QUINDIO","63130","CALARCA","3"
"10/01/2016","63","QUINDIO","63130","CALARCA","5"
"14/01/2016","63","QUINDIO","63130","CALARCA","1"
"25/01/2016","63","QUINDIO","63130","CALARCA","1"
"26/01/2016","63","QUINDIO","63130","CALARCA","1"
"26/01/2016","63","QUINDIO","63130","CALARCA","2"
"31/01/2016","63","QUINDIO","63130","CALARCA","1"
"05/02/2016","63","QUINDIO","63130","CALARCA","1"
"06/02/2016","63","QUINDIO","63130","CALARCA","2"
"10/02/2016","63","QUINDIO","63130","CALARCA","2"
"12/02/2016","63","QUINDIO","63130","CALARCA","1"
"14/02/2016","63","QUINDIO","63130","CALARCA","2"
"21/02/2016","63","QUINDIO","63130","CALARCA","2"
"24/02/2016","63","QUINDIO","63130","CALARCA","2"
"27/02/2016","63","QUINDIO","63130","CALARCA","2"
"01/03/2016","63","QUINDIO","63130","CALARCA","1"
"05/03/2016","63","QUINDIO","63130","CALARCA","2"
"09/03/2016","63","QUINDIO","63130","CALARCA","1"
"11/03/2016","63","QUINDIO","63130","CALARCA","1"
"13/03/2016","63","QUINDIO","63130","CALARCA","4"
"15/03/2016","63","QUINDIO","63130","CALARCA","1"
"16/03/2016","63","QUINDIO","63130","CALARCA","2"
"16/03/2016","63","QUINDIO","63130","CALARCA","4"
"18/03/2016","63","QUINDIO","63130","CALARCA","1"
"19/03/2016","63","QUINDIO","63130","CALARCA","2"
"19/03/2016","63","QUINDIO","63130","CALARCA","1"
"20/03/2016","63","QUINDIO","63130","CALARCA","1"
"22/03/2016","63","QUINDIO","63130","CALARCA","1"
"22/03/2016","63","QUINDIO","63130","CALARCA","1"
"23/03/2016","63","QUINDIO","63130","CALARCA","1"
"27/03/2016","63","QUINDIO","63130","CALARCA","1"
"28/03/2016","63","QUINDIO","63130","CALARCA","2"
"29/03/2016","63","QUINDIO","63130","CALARCA","1"
"06/04/2016","63","QUINDIO","63130","CALARCA","1"
"08/04/2016","63","QUINDIO","63130","CALARCA","2"
"10/04/2016","63","QUINDIO","63130","CALARCA","2"
"20/04/2016","63","QUINDIO","63130","CALARCA","1"
"25/04/2016","63","QUINDIO","63130","CALARCA","1"
"27/04/2016","63","QUINDIO","63130","CALARCA","1"
"03/05/2016","63","QUINDIO","63130","CALARCA","1"
"03/05/2016","63","QUINDIO","63130","CALARCA","2"
"17/05/2016","63","QUINDIO","63130","CALARCA","1"
"19/05/2016","63","QUINDIO","63130","CALARCA","1"
"21/05/2016","63","QUINDIO","63130","CALARCA","1"
"24/05/2016","63","QUINDIO","63130","CALARCA","2"
"28/05/2016","63","QUINDIO","63130","CALARCA","1"
"28/05/2016","63","QUINDIO","63130","CALARCA","1"
"29/05/2016","63","QUINDIO","63130","CALARCA","1"
"03/06/2016","63","QUINDIO","63130","CALARCA","1"
"06/06/2016","63","QUINDIO","63130","CALARCA","1"
"08/06/2016","63","QUINDIO","63130","CALARCA","2"
"10/06/2016","63","QUINDIO","63130","CALARCA","2"
"13/06/2016","63","QUINDIO","63130","CALARCA","1"
"13/06/2016","63","QUINDIO","63130","CALARCA","2"
"16/06/2016","63","QUINDIO","63130","CALARCA","1"
"18/06/2016","63","QUINDIO","63130","CALARCA","2"
"26/06/2016","63","QUINDIO","63130","CALARCA","2"
"29/06/2016","63","QUINDIO","63130","CALARCA","2"
"04/07/2016","63","QUINDIO","63130","CALARCA","1"
"06/07/2016","63","QUINDIO","63130","CALARCA","2"
"15/07/2016","63","QUINDIO","63130","CALARCA","1"
"20/07/2016","63","QUINDIO","63130","CALARCA","1"
"21/07/2016","63","QUINDIO","63130","CALARCA","1"
"23/07/2016","63","QUINDIO","63130","CALARCA","1"
"24/07/2016","63","QUINDIO","63130","CALARCA","2"
"03/08/2016","63","QUINDIO","63130","CALARCA","1"
"05/08/2016","63","QUINDIO","63130","CALARCA","1"
"05/08/2016","63","QUINDIO","63130","CALARCA","1"
"06/08/2016","63","QUINDIO","63130","CALARCA","1"
"13/08/2016","63","QUINDIO","63130","CALARCA","1"
"14/08/2016","63","QUINDIO","63130","CALARCA","1"
"15/08/2016","63","QUINDIO","63130","CALARCA","1"
"17/08/2016","63","QUINDIO","63130","CALARCA","16"
"27/08/2016","63","QUINDIO","63130","CALARCA","2"
"02/09/2016","63","QUINDIO","63130","CALARCA","2"
"03/09/2016","63","QUINDIO","63130","CALARCA","5"
"05/09/2016","63","QUINDIO","63130","CALARCA","1"
"05/09/2016","63","QUINDIO","63130","CALARCA","1"
"06/09/2016","63","QUINDIO","63130","CALARCA","2"
"06/09/2016","63","QUINDIO","63130","CALARCA","3"
"10/09/2016","63","QUINDIO","63130","CALARCA","1"
"11/09/2016","63","QUINDIO","63130","CALARCA","20"
"19/09/2016","63","QUINDIO","63130","CALARCA","1"
"19/09/2016","63","QUINDIO","63130","CALARCA","2"
"21/09/2016","63","QUINDIO","63130","CALARCA","2"
"23/09/2016","63","QUINDIO","63130","CALARCA","1"
"27/09/2016","63","QUINDIO","63130","CALARCA","1"
"01/10/2016","63","QUINDIO","63130","CALARCA","1"
"05/10/2016","63","QUINDIO","63130","CALARCA","1"
"06/10/2016","63","QUINDIO","63130","CALARCA","1"
"16/10/2016","63","QUINDIO","63130","CALARCA","3"
"18/10/2016","63","QUINDIO","63130","CALARCA","2"
"29/10/2016","63","QUINDIO","63130","CALARCA","1"
"30/10/2016","63","QUINDIO","63130","CALARCA","1"
"30/10/2016","63","QUINDIO","63130","CALARCA","1"
"01/11/2016","63","QUINDIO","63130","CALARCA","1"
"08/11/2016","63","QUINDIO","63130","CALARCA","1"
"11/11/2016","63","QUINDIO","63130","CALARCA","2"
"13/11/2016","63","QUINDIO","63130","CALARCA","2"
"14/11/2016","63","QUINDIO","63130","CALARCA","2"
"24/11/2016","63","QUINDIO","63130","CALARCA","1"
"26/11/2016","63","QUINDIO","63130","CALARCA","1"
"28/11/2016","63","QUINDIO","63130","CALARCA","1"
"29/11/2016","63","QUINDIO","63130","CALARCA","2"
"01/12/2016","63","QUINDIO","63130","CALARCA","1"
"02/12/2016","63","QUINDIO","63130","CALARCA","1"
"04/12/2016","63","QUINDIO","63130","CALARCA","1"
"05/12/2016","63","QUINDIO","63130","CALARCA","1"
"06/12/2016","63","QUINDIO","63130","CALARCA","1"
"07/12/2016","63","QUINDIO","63130","CALARCA","3"
"10/12/2016","63","QUINDIO","63130","CALARCA","1"
"11/12/2016","63","QUINDIO","63130","CALARCA","1"
"14/12/2016","63","QUINDIO","63130","CALARCA","1"
"17/12/2016","63","QUINDIO","63130","CALARCA","1"
"20/12/2016","63","QUINDIO","63130","CALARCA","1"
"21/12/2016","63","QUINDIO","63130","CALARCA","1"
"25/12/2016","63","QUINDIO","63130","CALARCA","1"
"28/12/2016","63","QUINDIO","63130","CALARCA","1"
"31/12/2016","63","QUINDIO","63130","CALARCA","1"
"02/01/2017","63","QUINDIO","63130","CALARCA","1"
"04/01/2017","63","QUINDIO","63130","CALARCA","1"
"07/01/2017","63","QUINDIO","63130","CALARCA","1"
"21/01/2017","63","QUINDIO","63130","CALARCA","1"
"22/01/2017","63","QUINDIO","63130","CALARCA","1"
"31/01/2017","63","QUINDIO","63130","CALARCA","1"
"01/02/2017","63","QUINDIO","63130","CALARCA","1"
"02/02/2017","63","QUINDIO","63130","CALARCA","1"
"04/02/2017","63","QUINDIO","63130","CALARCA","1"
"12/02/2017","63","QUINDIO","63130","CALARCA","1"
"15/02/2017","63","QUINDIO","63130","CALARCA","1"
"18/02/2017","63","QUINDIO","63130","CALARCA","2"
"20/02/2017","63","QUINDIO","63130","CALARCA","1"
"21/02/2017","63","QUINDIO","63130","CALARCA","1"
"22/02/2017","63","QUINDIO","63130","CALARCA","1"
"23/02/2017","63","QUINDIO","63130","CALARCA","2"
"24/02/2017","63","QUINDIO","63130","CALARCA","1"
"28/02/2017","63","QUINDIO","63130","CALARCA","1"
"04/03/2017","63","QUINDIO","63130","CALARCA","1"
"08/03/2017","63","QUINDIO","63130","CALARCA","2"
"09/03/2017","63","QUINDIO","63130","CALARCA","4"
"10/03/2017","63","QUINDIO","63130","CALARCA","1"
"13/03/2017","63","QUINDIO","63130","CALARCA","1"
"16/03/2017","63","QUINDIO","63130","CALARCA","1"
"25/03/2017","63","QUINDIO","63130","CALARCA","1"
"26/03/2017","63","QUINDIO","63130","CALARCA","1"
"28/03/2017","63","QUINDIO","63130","CALARCA","1"
"31/03/2017","63","QUINDIO","63130","CALARCA","1"
"31/03/2017","63","QUINDIO","63130","CALARCA","1"
"01/04/2017","63","QUINDIO","63130","CALARCA","1"
"04/04/2017","63","QUINDIO","63130","CALARCA","2"
"08/04/2017","63","QUINDIO","63130","CALARCA","1"
"13/04/2017","63","QUINDIO","63130","CALARCA","4"
"14/04/2017","63","QUINDIO","63130","CALARCA","3"
"17/04/2017","63","QUINDIO","63130","CALARCA","1"
"20/04/2017","63","QUINDIO","63130","CALARCA","1"
"23/04/2017","63","QUINDIO","63130","CALARCA","1"
"26/04/2017","63","QUINDIO","63130","CALARCA","1"
"28/04/2017","63","QUINDIO","63130","CALARCA","1"
"28/04/2017","63","QUINDIO","63130","CALARCA","2"
"06/05/2017","63","QUINDIO","63130","CALARCA","1"
"14/05/2017","63","QUINDIO","63130","CALARCA","1"
"20/05/2017","63","QUINDIO","63130","CALARCA","1"
"27/05/2017","63","QUINDIO","63130","CALARCA","1"
"28/05/2017","63","QUINDIO","63130","CALARCA","1"
"05/06/2017","63","QUINDIO","63130","CALARCA","1"
"06/06/2017","63","QUINDIO","63130","CALARCA","1"
"08/06/2017","63","QUINDIO","63130","CALARCA","1"
"10/06/2017","63","QUINDIO","63130","CALARCA","1"
"11/06/2017","63","QUINDIO","63130","CALARCA","1"
"15/06/2017","63","QUINDIO","63130","CALARCA","1"
"17/06/2017","63","QUINDIO","63130","CALARCA","3"
"20/06/2017","63","QUINDIO","63130","CALARCA","1"
"21/06/2017","63","QUINDIO","63130","CALARCA","1"
"23/06/2017","63","QUINDIO","63130","CALARCA","1"
"25/06/2017","63","QUINDIO","63130","CALARCA","1"
"26/06/2017","63","QUINDIO","63130","CALARCA","5"
"02/07/2017","63","QUINDIO","63130","CALARCA","2"
"07/07/2017","63","QUINDIO","63130","CALARCA","2"
"14/07/2017","63","QUINDIO","63130","CALARCA","1"
"16/07/2017","63","QUINDIO","63130","CALARCA","1"
"18/07/2017","63","QUINDIO","63130","CALARCA","1"
"21/07/2017","63","QUINDIO","63130","CALARCA","1"
"23/07/2017","63","QUINDIO","63130","CALARCA","1"
"29/07/2017","63","QUINDIO","63130","CALARCA","1"
"02/08/2017","63","QUINDIO","63130","CALARCA","2"
"03/08/2017","63","QUINDIO","63130","CALARCA","7"
"07/08/2017","63","QUINDIO","63130","CALARCA","1"
"15/08/2017","63","QUINDIO","63130","CALARCA","2"
"18/08/2017","63","QUINDIO","63130","CALARCA","1"
"23/08/2017","63","QUINDIO","63130","CALARCA","2"
"24/08/2017","63","QUINDIO","63130","CALARCA","1"
"27/08/2017","63","QUINDIO","63130","CALARCA","1"
"30/08/2017","63","QUINDIO","63130","CALARCA","1"
"30/08/2017","63","QUINDIO","63130","CALARCA","2"
"13/09/2017","63","QUINDIO","63130","CALARCA","1"
"22/09/2017","63","QUINDIO","63130","CALARCA","1"
"30/09/2017","63","QUINDIO","63130","CALARCA","16"
"30/09/2017","63","QUINDIO","63130","CALARCA","6"
"06/10/2017","63","QUINDIO","63130","CALARCA","2"
"13/10/2017","63","QUINDIO","63130","CALARCA","2"
"17/10/2017","63","QUINDIO","63130","CALARCA","1"
"17/10/2017","63","QUINDIO","63130","CALARCA","21"
"19/10/2017","63","QUINDIO","63130","CALARCA","1"
"21/10/2017","63","QUINDIO","63130","CALARCA","3"
"23/10/2017","63","QUINDIO","63130","CALARCA","3"
"24/10/2017","63","QUINDIO","63130","CALARCA","2"
"12/11/2017","63","QUINDIO","63130","CALARCA","1"
"16/11/2017","63","QUINDIO","63130","CALARCA","1"
"21/11/2017","63","QUINDIO","63130","CALARCA","1"
"23/11/2017","63","QUINDIO","63130","CALARCA","1"
"23/11/2017","63","QUINDIO","63130","CALARCA","2"
"25/11/2017","63","QUINDIO","63130","CALARCA","1"
"26/11/2017","63","QUINDIO","63130","CALARCA","3"
"28/11/2017","63","QUINDIO","63130","CALARCA","1"
"05/12/2017","63","QUINDIO","63130","CALARCA","5"
"07/12/2017","63","QUINDIO","63130","CALARCA","1"
"09/12/2017","63","QUINDIO","63130","CALARCA","3"
"13/12/2017","63","QUINDIO","63130","CALARCA","1"
"18/12/2017","63","QUINDIO","63130","CALARCA","1"
"19/12/2017","63","QUINDIO","63130","CALARCA","6"
"24/12/2017","63","QUINDIO","63130","CALARCA","1"
"25/12/2017","63","QUINDIO","63130","CALARCA","4"
"28/12/2017","63","QUINDIO","63130","CALARCA","1"
"30/12/2017","63","QUINDIO","63130","CALARCA","1"
"31/12/2017","63","QUINDIO","63130","CALARCA","3"
"03/01/2018","63","QUINDIO","63130","CALARCA","1"
"06/01/2018","63","QUINDIO","63130","CALARCA","1"
"06/01/2018","63","QUINDIO","63130","CALARCA","1"
"06/01/2018","63","QUINDIO","63130","CALARCA","1"
"09/01/2018","63","QUINDIO","63130","CALARCA","1"
"12/01/2018","63","QUINDIO","63130","CALARCA","1"
"13/01/2018","63","QUINDIO","63130","CALARCA","1"
"13/01/2018","63","QUINDIO","63130","CALARCA","1"
"15/01/2018","63","QUINDIO","63130","CALARCA","1"
"18/01/2018","63","QUINDIO","63130","CALARCA","1"
"20/01/2018","63","QUINDIO","63130","CALARCA","1"
"22/01/2018","63","QUINDIO","63130","CALARCA","1"
"22/01/2018","63","QUINDIO","63130","CALARCA","1"
"27/01/2018","63","QUINDIO","63130","CALARCA","1"
"27/01/2018","63","QUINDIO","63130","CALARCA","1"
"27/01/2018","63","QUINDIO","63130","CALARCA","1"
"31/01/2018","63","QUINDIO","63130","CALARCA","1"
"31/01/2018","63","QUINDIO","63130","CALARCA","1"
"03/02/2018","63","QUINDIO","63130","CALARCA","1"
"03/02/2018","63","QUINDIO","63130","CALARCA","1"
"03/02/2018","63","QUINDIO","63130","CALARCA","1"
"03/02/2018","63","QUINDIO","63130","CALARCA","1"
"08/02/2018","63","QUINDIO","63130","CALARCA","1"
"12/02/2018","63","QUINDIO","63130","CALARCA","1"
"19/02/2018","63","QUINDIO","63130","CALARCA","1"
"19/02/2018","63","QUINDIO","63130","CALARCA","1"
"27/02/2018","63","QUINDIO","63130","CALARCA","1"
"27/02/2018","63","QUINDIO","63130","CALARCA","1"
"07/03/2018","63","QUINDIO","63130","CALARCA","1"
"12/03/2018","63","QUINDIO","63130","CALARCA","1"
"17/03/2018","63","QUINDIO","63130","CALARCA","1"
"18/03/2018","63","QUINDIO","63130","CALARCA","1"
"18/03/2018","63","QUINDIO","63130","CALARCA","1"
"25/03/2018","63","QUINDIO","63130","CALARCA","1"
"26/03/2018","63","QUINDIO","63130","CALARCA","1"
"01/04/2018","63","QUINDIO","63130","CALARCA","1"
"01/04/2018","63","QUINDIO","63130","CALARCA","1"
"02/04/2018","63","QUINDIO","63130","CALARCA","1"
"10/04/2018","63","QUINDIO","63130","CALARCA","1"
"10/04/2018","63","QUINDIO","63130","CALARCA","1"
"12/04/2018","63","QUINDIO","63130","CALARCA","1"
"15/04/2018","63","QUINDIO","63130","CALARCA","1"
"15/04/2018","63","QUINDIO","63130","CALARCA","1"
"21/04/2018","63","QUINDIO","63130","CALARCA","1"
"21/04/2018","63","QUINDIO","63130","CALARCA","1"
"22/04/2018","63","QUINDIO","63130","CALARCA","1"
"28/04/2018","63","QUINDIO","63130","CALARCA","1"
"02/05/2018","63","QUINDIO","63130","CALARCA","1"
"02/05/2018","63","QUINDIO","63130","CALARCA","1"
"02/05/2018","63","QUINDIO","63130","CALARCA","1"
"02/05/2018","63","QUINDIO","63130","CALARCA","1"
"17/05/2018","63","QUINDIO","63130","CALARCA","1"
"20/05/2018","63","QUINDIO","63130","CALARCA","1"
"22/05/2018","63","QUINDIO","63130","CALARCA","1"
"26/05/2018","63","QUINDIO","63130","CALARCA","1"
"29/05/2018","63","QUINDIO","63130","CALARCA","1"
"29/05/2018","63","QUINDIO","63130","CALARCA","1"
"06/06/2018","63","QUINDIO","63130","CALARCA","1"
"06/06/2018","63","QUINDIO","63130","CALARCA","1"
"07/06/2018","63","QUINDIO","63130","CALARCA","1"
"16/06/2018","63","QUINDIO","63130","CALARCA","1"
"16/06/2018","63","QUINDIO","63130","CALARCA","1"
"16/06/2018","63","QUINDIO","63130","CALARCA","1"
"07/07/2018","63","QUINDIO","63130","CALARCA","1"
"14/07/2018","63","QUINDIO","63130","CALARCA","1"
"15/07/2018","63","QUINDIO","63130","CALARCA","1"
"18/07/2018","63","QUINDIO","63130","CALARCA","1"
